layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000016501496,267.6330568614423,267.633056640625,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.5.ffn.layers.0.0.lora_B.default,640,1,1,0.9999999855246708,1.0130797551269632,1.0130797624588013,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.5.ffn.layers.1,640,1,1,1.0000000339851651,0.6112000450050628,0.6112000346183777,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.proj,2560,1,1,1.0000000176663968,0.3354375690064236,0.3354375660419464,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0,640,1,1,0.9999999834603023,10.185726081537117,10.185726165771484,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.base_layer,640,1,1,1.0000000215735383,11.862180837793513,11.862180709838867,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000200796648,69.9423835147098,69.9423828125,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.6.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000093194699,0.8634719292827658,0.8634719252586365,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.6.ffn.layers.1,640,1,1,1.0000000233653858,0.2008903348098324,0.20089033246040344,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.7.attn.w_msa.proj,2560,1,1,0.9999999803134371,0.5995857656596113,0.599585771560669,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
